level,lang,suggestion
high,darija_ar,"باين عليك مضغوط بزاف، وقف شوية وخد النفس وركّز على حاجة وحدة."
high,mixed,"Stress high! وقف شوية، breathe deeply و رجّع تركيزك."
medium,english,"Moderate stress detected. Take a short break and stretch your body."
medium,french,"Stress modéré. Faites une courte pause et détendez votre corps."
medium,arabic,"ضغط متوسط. خذ استراحة قصيرة وحرك جسمك."
medium,darija_lat,"stress mtwesset eandek,khoud stiraha o herek ljism dyal , khrej , dir sport , koul shi haja healthy.."
medium,darija_ar,"الضغط متوسط، دير بريك صغير وحرّك جسمك."
medium,mixed,"Stress medium، دير pause قصيرة و relax شوية."
low,english,"Low stress level. Keep maintaining healthy habits and balance."
low,french,"Niveau de stress faible. Continuez à maintenir de bonnes habitudes."
low,arabic,"مستوى الضغط منخفض. استمر في الحفاظ على توازنك."
low,darija_ar,"الضغط ضعيف، كمّل هكا و حافظ على التوازن ديالك."
low,mixed,"Low stress، keep going و دير نفس الروتين الزوين."
high,english,"Your stress is very high. Disconnect for a few minutes and slow your breathing."
high,french,"Votre niveau de stress est très élevé. Déconnectez-vous quelques minutes et respirez lentement."
high,arabic,"مستوى التوتر مرتفع جداً. ابتعد قليلاً وخفف من سرعة تنفسك."
high,darija_lat,"stress tal3 bezef.B3ed elik tele shwiya o khoud wahd tanafouss bshwiya ."
high,darija_ar,"الستريس طالع بزاف، حبّس شوية، بعد على التليفون وخد النفس بشوية."
high,mixed,"High stress! حبّس شوية و ركّز غير على التنفس ديالك."
medium,english,"You are experiencing some stress. Try listening to calm music or taking a short walk."
medium,french,"Vous ressentez un certain stress. Essayez d'écouter de la musique calme ou de marcher un peu."
medium,arabic,"تشعر ببعض التوتر. حاول الاستماع إلى موسيقى هادئة أو المشي قليلاً."
medium,darija_lat,"Kayn shwiya dyal stress, sme3 shwiya music had2a ola khrej dour shwiya ."
medium,darija_ar,"كاين شوية ستريس، سمع شي موسيقى هادئة ولا خرج دُوّر شوية."
medium,mixed,"Stress medium، سمع music هادئة ولا خرج تمشى شوية."
low,english,"Everything seems under control. Keep taking care of yourself."
low,french,"Tout semble sous contrôle. Continuez à prendre soin de vous."
low,arabic,"الأمور تبدو جيدة. استمر في العناية بنفسك."
low,darija_lat,"lomor meziana . kemel o thela frasek."
low,darija_ar,"الأمور مزيانة، كمّل تهلا فـ راسك."
low,mixed,"Low stress، الأمور مزيانة، keep it up."
high,english,"You may be feeling overloaded. Stop, ground yourself, and focus on the present moment."
high,french,"Vous semblez surchargé(e). Arrêtez-vous, recentrez-vous et vivez le moment présent."
high,arabic,"قد تشعر بإرهاق شديد. توقف وركز على اللحظة الحالية."
high,darija_ar,"راك معبّي بزاف، وقف دابا و ركّز غير فهاد اللحظة."
high,mixed,"Stress high، وقف دابا و ركّز على اللحظة present."
medium,english,"Some stress is present. Write down what worries you and prioritize calmly."
medium,french,"Un peu de stress est présent. Notez vos préoccupations et classez-les calmement."
medium,arabic,"هناك بعض التوتر. اكتب ما يقلقك ورتب أولوياتك بهدوء."
medium,darija_lat,"Kayn shwiya stress.Kteb shnou mqelqek o reteb lawlawiyat."
medium,darija_ar,"كاين شوية ستريس، كتب شنو مقلقك و رتّب الأولويات."
medium,mixed,"Stress medium، كتب worries ديالك و رتّبهم بهدوء."
low,english,"You seem relaxed. Continue with your routine and enjoy the moment."
low,french,"Vous semblez détendu(e). Continuez votre routine et profitez du moment."
low,arabic,"تبدو مرتاحاً. استمر في روتينك واستمتع باللحظة."
low,darija_lat,"Bayn elik mertah , kemel routine dyalk o stamte3 blweqt dyalk."
low,darija_ar,"باين عليك مرتاح، كمّل الروتين ديالك و استمتع بالوقت."
low,mixed,"Low stress، enjoy اللحظة و كمّل روتينك."
high,english,"Strong stress detected. Place your feet on the ground and breathe slowly for one minute."
high,french,"Stress intense détecté. Posez vos pieds au sol et respirez lentement pendant une minute."
high,arabic,"تم رصد توتر قوي. ضع قدميك على الأرض وتنفس ببطء لمدة دقيقة."
high,darija_lat,"stress qwi , het rejlik flard o tnefess bshwiya lmoda dyal dqiqa 1min."
high,darija_ar,"الستريس قوي، حط رجليك فالأرض و تنفس بشوية لمدة دقيقة."
high,mixed,"High stress، حط رجليك فالأرض و breathe slowly دقيقة."
medium,english,"You are slightly stressed. Change your environment or get some fresh air."
medium,french,"Vous êtes légèrement stressé(e). Changez d'environnement ou prenez l'air."
medium,arabic,"تشعر بتوتر خفيف. غير المكان أو استنشق هواءً نقيًا."
medium,darija_lat,"Kayn stress khfif , bdel ljew shwiya ola khrej shem shwiya dyal lhwa."
medium,darija_ar,"كاين ستريس خفيف، بدّل الجو ولا خرج تشم شوية ديال الهوا."
medium,mixed,"Stress medium، بدّل الجو و خرج شوية للهواء."
low,english,"You feel calm. Take a moment to appreciate this state."
low,french,"Vous vous sentez calme. Prenez un moment pour apprécier هذا الهدوء."
low,arabic,"تشعر بالهدوء. خذ لحظة لتقدير هذا الشعور."
low,darija_lat,"Maendeksh bezef dyal deght , khoud wahd lahda o qeder had lhodoue li fih ."
low,darija_ar,"راك هاني، خد لحظة و قدّر هاد الهدوء."
low,mixed,"Low stress، خد لحظة و appreciate هاد الهدوء."
high,english,"You are under intense pressure. Stop what you're doing and focus on slow breathing."
high,english,"Stress is overwhelming. Give yourself permission to pause and reset."
high,english,"High stress detected. Lower your pace and focus on what you can control."
high,french,"Stress très élevé. Ralentissez et accordez-vous un moment de pause."
high,french,"Vous êtes sous forte pression. Respirez profondément et recentrez-vous."
high,french,"Niveau de stress critique. Prenez soin de vous immédiatement."
high,arabic,"تشعر بضغط شديد. توقف قليلاً وخفف من وتيرتك."
high,arabic,"التوتر مرتفع جداً. خذ استراحة واهتم بنفسك."
high,arabic,"أنت تحت ضغط كبير. ركز على ما يمكنك التحكم فيه."
high,darija_lat,"Stress tal3 bezef, dir pause o nqess men sor3a."
high,darija_ar,"راك مضغوط بزاف، حبّس دابا و ركّز على النفس ديالك."
high,darija_ar,"الستريس طالع بزاف، دير وقفة و نقص من السرعة."
high,darija_ar,"راك معبّي، وقف شوية و رجّع التوازن ديالك."
high,mixed,"High stress! حبّس شوية و breathe بعمق."
high,mixed,"Stress طالع بزاف، pause دابا و رجّع تركيزك."
high,mixed,"Too much stress، حبّس و ركّز على النفس."
medium,english,"You are experiencing moderate stress. Take a short break and reorganize."
medium,english,"Some stress detected. Slow down and manage your priorities."
medium,english,"Moderate stress level. Stay aware and keep balance."
medium,french,"Stress modéré. Organisez vos tâches calmement."
medium,french,"Un certain stress est présent. Prenez une pause courte."
medium,french,"Niveau de stress moyen. Respirez et avancez progressivement."
medium,arabic,"تشعر بتوتر متوسط. رتب مهامك بهدوء."
medium,arabic,"هناك بعض الضغط. خذ استراحة قصيرة."
medium,arabic,"مستوى التوتر متوسط. حاول الحفاظ على التوازن."
medium,darija_ar,"كاين شوية ستريس، رتّب الأمور بشوية."
medium,darija_ar,"الضغط متوسط، دير بريك صغير و كمّل."
medium,darija_ar,"راك مقلق شوية، نقص السرعة و نظّم وقتك."
medium,mixed,"Stress medium، دير pause قصيرة و كمّل بهدوء."
medium,mixed,"Some stress، نظّم وقتك و keep calm."
medium,mixed,"Medium stress، ركّز على الأولويات."
low,english,"You seem calm. Maintain your healthy habits."
low,english,"Low stress detected. Keep doing what works for you."
low,english,"You are relaxed. Enjoy this balance."
low,french,"Stress faible. Continuez vos bonnes habitudes."
low,french,"Vous êtes détendu(e). Profitez de cet équilibre."
low,french,"Niveau de stress bas. Maintenez ce rythme."
low,arabic,"مستوى الضغط منخفض. استمر في عاداتك الجيدة."
low,arabic,"تبدو مرتاحاً. استمتع بهذا التوازن."
low,arabic,"الضغط ضعيف. حافظ على هدوئك."
low,darija_ar,"الستريس ضعيف، كمّل هكا و تهلا فراسك."
low,darija_ar,"راك هاني، حافظ على هاد التوازن."
low,darija_ar,"الأمور مزيانة، كمّل بنفس الوتيرة."
low,mixed,"Low stress، keep it up و حافظ على التوازن."
low,mixed,"All good، continue بنفس الروتين الزوين."
low,mixed,"Relaxed state، enjoy و كمّل هكا."
high,english,"High stress level detected. It is recommended to take a short break, regulate your breathing, and reduce immediate cognitive load."
high,french,"Un niveau de stress élevé a été détecté. Il est recommandé de faire une pause, de réguler la respiration et de réduire la charge mentale."
high,arabic,"تم رصد مستوى توتر مرتفع. يُنصح بأخذ استراحة قصيرة وتنظيم التنفس وتقليل الضغط الذهني."
high,mixed,"High stress detected، من الأفضل دير pause قصيرة و تنظم التنفس ديالك."
medium,english,"Moderate stress observed. Consider organizing tasks, taking brief pauses, and maintaining regular hydration."
medium,french,"Un stress modéré a été observé. Il est conseillé d’organiser les tâches, de prendre des pauses régulières et de bien s’hydrater."
medium,arabic,"تم رصد توتر متوسط. يُنصح بتنظيم المهام وأخذ فترات راحة قصيرة والحفاظ على شرب الماء."
medium,darija_lat,"Kayn stress mtwesset , hawel tnedem(i) khdma dyalk o dir breakat sghar 15min , o shreb(i) lma ."
medium,mixed,"Stress medium، نظم المهام ديالك و دير pauses صغار."
low,english,"Low stress level detected. Continue maintaining healthy routines and regular sleep patterns."
low,french,"Un faible niveau de stress a été détecté. Continuez à maintenir des routines saines et un sommeil régulier."
low,arabic,"تم رصد مستوى توتر منخفض. استمر في الحفاظ على روتين صحي ونوم منتظم."
low,darija_lat,"Stress d3if , hafed ela routine ssihi dyalk o neass lmnedem."
low,mixed,"Low stress، حافظ على routine صحية و نوم منتظم."
high,english,"A high stress level has been identified. It is advisable to pause briefly, slow down breathing, and limit excessive mental effort."
high,french,"Un niveau de stress important a été identifié. Il est conseillé de marquer une pause, ralentir la respiration et limiter la surcharge mentale."
high,arabic,"تم تحديد مستوى مرتفع من التوتر. يُنصح بالتوقف قليلاً، تهدئة التنفس، وتقليل المجهود الذهني."
high,darija_lat,"stress eandek tal3 , dir waqfa sghira , haddi nefsek o nqess men tfkir zayd ."
high,mixed,"High stress detected، دير pause قصيرة و ركّز على التنفس ديالك."
high,qbayla,"Aqerru ameqqran yettwaf. Yelha ad tḥebbes kra n wakud, ad tessekned tifrat n ubreḥ u ad tneqqeḍ leqdic."
medium,english,"A moderate stress level is present. Try prioritizing tasks, taking short breaks, and maintaining a steady rhythm."
medium,french,"Un niveau de stress modéré est présent. Essayez de prioriser les tâches, prendre des pauses courtes et garder un rythme stable."
medium,arabic,"يوجد مستوى توتر متوسط. حاول ترتيب الأولويات، أخذ فترات راحة قصيرة، والحفاظ على إيقاع متوازن."
medium,mixed,"Stress medium، نظم الخدمة ديالك و خدم بشوية بشوية."
medium,qbayla,"Aqerru yella d alemmas. Tzemreḍ ad tesnifeḍ leqdic, ad tḥebbes kra n wakud u ad tkemmleḍ s tazmert."
low,english,"A low stress level has been observed. Continue healthy habits and maintain emotional balance."
low,french,"Un faible niveau de stress a été observé. Continuez à adopter de bonnes habitudes et à maintenir l’équilibre."
low,arabic,"تمت ملاحظة مستوى منخفض من التوتر. استمر في العادات الصحية والحفاظ على التوازن."
low,mixed,"Low stress، كمّل على routine مزيانة و توازن نفسي."
low,qbayla,"Aqerru meẓẓiyen yettwaf. Kemmel deg tiddin yelhan u ḥrez tazmert n iman."
high,english,"A high stress response is detected. Slowing down breathing and stepping away from demanding tasks is advised."
high,english,"Elevated stress indicators suggest the need for immediate rest and mental disengagement."
high,english,"High stress levels may impair focus. Short pauses and controlled breathing can help stabilize attention."
high,english,"Signs of intense stress are present. Reducing stimulation and workload is recommended."
high,english,"Persistent stress detected. Consider brief relaxation techniques to restore balance."
high,french,"Un stress intense a été identifié. Une réduction temporaire des sollicitations est recommandée."
high,french,"Un niveau de stress élevé peut affecter la concentration. Il est conseillé de ralentir le rythme."
high,french,"Les indicateurs montrent une tension importante. Une pause immédiate peut être bénéfique."
high,french,"Un stress prolongé a été détecté. La respiration contrôlée peut aider à apaiser l’état mental."
high,french,"Une surcharge mentale est observée. Il est préférable de diminuer les exigences actuelles."
high,arabic,"تشير المؤشرات إلى توتر شديد. يُنصح بالابتعاد مؤقتًا عن المهام المرهقة."
high,arabic,"تم رصد ضغط نفسي مرتفع قد يؤثر على التركيز. يُنصح بالتهدئة والتنفس ببطء."
high,arabic,"يظهر مستوى عالٍ من التوتر. تقليل المجهود الذهني قد يساعد على الاستقرار."
high,arabic,"استمرار التوتر قد يؤثر على الأداء. الراحة القصيرة ضرورية."
high,arabic,"تم تحديد حالة إجهاد ملحوظة. من الأفضل تقليل المحفزات الحالية."
high,darija_lat,"Kayn tawatour qwi , men lahsen tbe3ed ela deght o trtah shwiya."
high,darija_lat,"Deght zayed o kayater ela tarkiz , wqef shwiya o tnfess braha."
high,darija_lat,"Bayen stress tal3, nqess lkhedma daba o red lbal lrasek."
high,darija_lat,"Tawatour twil o mtrakem, ila wqefty shwiya ghadi t3awnek."
high,darija_lat,"Dir pause , o rje3 tawazoun dyalk rah deght mater elik ."
medium,english,"Moderate stress is observed. Organizing priorities may improve mental clarity."
medium,english,"A manageable level of stress is present. Maintaining breaks can prevent escalation."
medium,english,"Stress remains moderate. Regular pauses support emotional regulation."
medium,english,"Current stress levels suggest the need for better task distribution."
medium,english,"Moderate tension detected. Balanced effort is recommended."
medium,french,"Un stress modéré est observé. Une meilleure organisation peut aider."
medium,french,"Le niveau de stress reste contrôlable. Des pauses régulières sont conseillées."
medium,french,"Une tension modérée est présente. Il est utile d’adapter le rythme."
medium,french,"Le stress est présent mais stable. Une gestion progressive est recommandée."
medium,french,"Un équilibre entre effort et repos est suggéré."
medium,arabic,"يوجد توتر متوسط يمكن التحكم فيه. تنظيم الوقت قد يكون مفيدًا."
medium,arabic,"مستوى التوتر معتدل. الحفاظ على فترات راحة منتظمة يساعد."
medium,arabic,"التوتر الحالي قابل للإدارة. يُنصح بتوزيع الجهد."
medium,arabic,"تم رصد ضغط متوسط. الموازنة بين العمل والراحة ضرورية."
medium,arabic,"التوتر مستقر نسبيًا. يُفضل الحفاظ على إيقاع متوازن."
low,english,"Low stress indicators are present. Current habits appear effective."
low,english,"Stress levels are minimal. Maintaining routines is encouraged."
low,english,"A stable emotional state is observed. Continue healthy practices."
low,english,"Low tension detected. Consistency supports long-term balance."
low,english,"Emotional load remains low. No immediate adjustment is needed."
low,french,"Un faible stress est observé. Les habitudes actuelles sont adaptées."
low,french,"Le niveau de tension est bas. Il est conseillé de poursuivre ainsi."
low,french,"Un bon équilibre émotionnel est constaté."
low,french,"Le stress reste faible. La régularité est bénéfique."
low,french,"Aucune surcharge notable n’est détectée."
low,arabic,"تم رصد مستوى توتر منخفض. الاستمرار على نفس الوتيرة مناسب."
low,arabic,"الحالة النفسية مستقرة. العادات الحالية فعالة."
low,arabic,"لا يوجد ضغط ملحوظ. الاستمرارية مهمة."
low,arabic,"التوتر منخفض حاليًا. يُنصح بالمحافظة على الروتين."
low,arabic,"الحمل الذهني خفيف. لا حاجة لتعديل الجهد."
high,french,"Un stress élevé a été détecté. Il est recommandé de réduire les sollicitations et de prendre une pause immédiate."
high,english,"High stress signals were identified. Immediate rest and breathing regulation are advised."
high,arabic,"تم رصد مستوى مرتفع من التوتر. يُنصح بأخذ استراحة وتنظيم التنفس."
high,darija_lat,"Kayban stress tal3, ahsan haja daba hiya wa9fa w tandim tanafouss."
high,darija_ar,"كاين توتر عالي دابا، خاصك توقف شوية وتنظم النفس."
high,mixed,"High stress detected، دير pause دابا و ركّز على التنفس."
high,french,"Les indicateurs émotionnels montrent une surcharge mentale importante."
high,english,"The model predicts a critical stress level requiring immediate disengagement."
high,arabic,"تشير النتائج إلى إجهاد نفسي حاد."
high,darija_lat,"Nta mdaghrot bezaf، khass tkhafef shwiya."
high,darija_ar,"النموذج عطى نتيجة ضغط مرتفع."
high,mixed,"Stress level 3ali، حاول تبعد شوية على الضغط."
medium,french,"Un stress modéré a été observé. Une meilleure organisation peut aider."
medium,english,"Moderate stress detected. Preventive breaks are recommended."
medium,arabic,"تم رصد توتر متوسط يمكن التحكم فيه."
medium,darija_lat,"Kayban kayn stress motawassit، tandim lwa9t ghadi y3awn."
medium,darija_ar,"كاين شوية ضغط ولكن الوضع متحكم فيه."
medium,mixed,"Stress medium، نظم المهام و دير pauses صغار."
medium,french,"La charge émotionnelle reste contrôlable selon l’analyse."
medium,english,"Stress indicators remain within a manageable range."
medium,arabic,"مستوى التوتر متوسط وغير مقلق."
medium,darija_lat,"Daght mtwset، ma kaynch khatar daba."
medium,darija_ar,"الضغط النفسي متوسط و ماشي خطير."
medium,mixed,"Model kay3ti stress motawassit، غير شوية تنظيم."
low,french,"Un faible niveau de stress a été détecté. L’état émotionnel est stable."
low,english,"Low stress level detected. Emotional balance appears stable."
low,arabic,"تم تصنيف مستوى التوتر على أنه منخفض."
low,darija_lat,"Stress d3if، lwad3 mzyan daba."
low,darija_ar,"ما كاين حتى ضغط مهم دابا."
low,mixed,"Low stress، كلشي باين متوازن."
low,french,"Les indicateurs montrent une bonne stabilité psychologique."
low,english,"The model identifies minimal psychological strain."
low,arabic,"لا توجد مؤشرات توتر ملحوظة."
low,darija_lat,"Halat nafssiya msta9rra."
low,darija_ar,"الوضع النفسي مستقر."
low,mixed,"Model kaychouf stress faible، ما كاين تا قلق."
high,english,"Sustained stress markers were detected. Short-term rest and breathing control are strongly advised."
high,english,"The stress score exceeds adaptive thresholds. Temporary disengagement from demanding tasks is recommended."
high,english,"Elevated emotional strain identified through linguistic analysis."
high,english,"High stress probability observed. Calming strategies should be applied promptly."
